mtry,splitrule,min.node.size,Accuracy,Kappa,AccuracySD,KappaSD
15,gini,1,0.883717157504872,0.7660351146887757,9.525085810686835e-4,0.001942514004438813
15,gini,3,0.8831943057523161,0.7649743195933177,9.110117014781294e-4,0.0019035974182135692
15,gini,5,0.8835488836241016,0.7657043881476545,6.943669179406599e-4,0.0014475489541384277
15,gini,10,0.8831191836638943,0.7648221914885718,9.091664242035137e-4,0.0018706094087710319
15,gini,20,0.882425055254464,0.7634099321941971,0.0012844601756026972,0.0026364964101278747
25,gini,1,0.88437822594172,0.7673580134207093,0.0010690901927334908,0.0022247006101446453
25,gini,3,0.8844473397691514,0.7674923773288754,8.878365825330108e-4,0.0018534816326878246
25,gini,5,0.8842550279234634,0.7671114528951227,0.0011051443957990194,0.0022762015757562953
25,gini,10,0.8839515357101593,0.7664968632839189,8.701261020820965e-4,0.0018177242320548894
25,gini,20,0.8835939554234411,0.7657496186433743,0.0011151743538393164,0.0023035419136023913
35,gini,1,0.8849822098495435,0.768557272276081,7.307966379360118e-4,0.0015297674923166504
35,gini,3,0.8849972307277515,0.7685804425579104,0.0012597556490322036,0.0025983615602236587
35,gini,5,0.8848139326279407,0.7682121470860189,0.0010098188393507792,0.002104196771872159
35,gini,10,0.8847778776895786,0.7681367513747522,9.088256032905765e-4,0.0018875718700022135
35,gini,20,0.8843842367760542,0.767329531780515,9.77956036212244e-4,0.002046054414186126
45,gini,1,0.8855351062027376,0.7696527299991734,0.0011036967191826205,0.0022987380736951128
45,gini,3,0.8857454478877916,0.7700807363020289,9.025608883038733e-4,0.0018838605044613074
45,gini,5,0.8853097377704459,0.7691938957721214,0.0011900123357475349,0.0024779408624561513
45,gini,10,0.8853728412150068,0.7693215553252416,9.68724527283717e-4,0.002024711881736617
45,gini,20,0.8852796912285134,0.7691215108789745,0.0011390985876278518,0.0023433173387494293
55,gini,1,0.8859347542485929,0.7704552324320184,8.053555786909394e-4,0.0016968647069256343
55,gini,3,0.8858626375096186,0.7703088900001334,9.936036407976663e-4,0.002052713326971786
55,gini,5,0.8858536226350819,0.7702843315638264,0.0011313232061241837,0.002341178325317319
55,gini,10,0.8853878666078531,0.7693482221108127,0.001162087152727922,0.002403708025925908
55,gini,20,0.8854539718804437,0.7694698042660638,0.0013874496492308158,0.0028643197760358373
65,gini,1,0.8863103635620423,0.7712055478675363,9.730695006047459e-4,0.0020279065977917552
65,gini,3,0.8860279043253791,0.77063576390756106,0.001355618675860288,0.002791479903690131
65,gini,5,0.8862863237009768,0.7711549599317428,0.0012418541336688444,0.002572436010946696
65,gini,10,0.8862472616976047,0.7710746024194829,0.001001078784949225,0.0020647187540172446
65,gini,20,0.8857244143693941,0.7700057520651525,8.061757859556855e-4,0.0016813683405944506
75,gini,1,0.8863704610251063,0.7713222626228496,0.0011320081279259369,0.002349281041552499
75,gini,3,0.8865597689208846,0.7717073566315346,0.001283732598544584,0.0026522885553858927
75,gini,5,0.886616863743284,0.7718214398655473,9.952913007539826e-4,0.0020666903856972696
75,gini,10,0.8862713001139859,0.7711080469019141,0.0012659767494492978,0.002589949018230269
75,gini,20,0.8860910086277213,0.7707560047939619,0.0010625812654938436,0.0021900262717613707
